"seed","shot","model","performance"
18,10,baseline,73.4
45,10,baseline,63.84
76,10,baseline,75.44
256,10,baseline,77.08
512,10,baseline,73.54
18,10,promDA,80.56
45,10,promDA,70.93
76,10,promDA,76.9
256,10,promDA,79.85
512,10,promDA,79.48
18,50,baseline,83.3
45,50,baseline,82.99
76,50,baseline,82.24
256,50,baseline,83
512,50,baseline,83.02
18,50,promDA,83.08
45,50,promDA,84.18
76,50,promDA,83.37
256,50,promDA,84.83
512,50,promDA,84.93
18,100,baseline,86.05
45,100,baseline,85.29
76,100,baseline,84.71
256,100,baseline,86.09
512,100,baseline,84.86
18,100,promDA,86.2
45,100,promDA,86.33
76,100,promDA,84.74
256,100,promDA,86.31
512,100,promDA,86.05
18,20,baseline,78.14
45,20,baseline,74.12
76,20,baseline,79.06
256,20,baseline,79.08
512,20,baseline,78.76
18,20,promDA,79.02
45,20,promDA,79.04
76,20,promDA,80.42
256,20,promDA,81.28
512,20,promDA,80.9
18,100,LAMBADA,86.12
45,100,LAMBADA,85.6
76,100,LAMBADA,85.52
256,100,LAMBADA,85.57
512,100,LAMBADA,84.51
18,50,LAMBADA,83.58
45,50,LAMBADA,83.79
76,50,LAMBADA,82.9
256,50,LAMBADA,84.36
512,50,LAMBADA,83.99
18,20,SDANER,77.1
45,20,SDANER,75.2
76,20,SDANER,78.14
256,20,SDANER,80.27
512,20,SDANER,81.09
18,100,SDANER,85.8
45,100,SDANER,84.75
76,100,SDANER,85.34
256,100,SDANER,85.71
512,100,SDANER,84.55
18,10,SDANER,75.17
45,10,SDANER,65.65
76,10,SDANER,74.93
256,10,SDANER,78.2
512,10,SDANER,75.5
18,50,SDANER,83.79
45,50,SDANER,82.77
76,50,SDANER,82.89
256,50,SDANER,83.16
512,50,SDANER,83.23
18,10,MetaST,76.7
18,20,MetaST,78.54
18,50,MetaST,83.6
18,100,MetaST,85.77
18,10,LAMBADA,77.27
45,10,LAMBADA,67.45
76,10,LAMBADA,76.32
256,10,LAMBADA,77.11
512,10,LAMBADA,76.95
18,20,LAMBADA,80.63
45,20,LAMBADA,75.73
76,20,LAMBADA,77.77
256,20,LAMBADA,80
512,20,LAMBADA,78.6
