"seed","shot","model","performance"
18,20,baseline,60.17
18,20,promDA,76.01
45,20,baseline,64.01
45,20,promDA,76.66
76,20,baseline,73.76
76,20,promDA,76.85
256,20,baseline,67.76
256,20,promDA,76.94
512,20,baseline,61.39
512,20,promDA,70.29
18,100,baseline,79.66
18,100,promDA,83.13
45,100,baseline,77.32
45,100,promDA,82.38
76,100,baseline,74.51
76,100,promDA,83.51
256,100,baseline,76.29
256,100,promDA,82.85
512,100,baseline,80.22
512,100,promDA,83.22
18,50,baseline,61.29
18,50,promDA,79.19
45,50,baseline,73.1
45,50,promDA,81.72
76,50,baseline,74.88
76,50,promDA,77.51
256,50,baseline,75.82
256,50,promDA,83.41
512,50,baseline,74.7
512,50,promDA,82.47
18,10,baseline,58.86
18,10,promDA,71.6
45,10,baseline,59.23
45,10,promDA,71.98
76,10,baseline,60.07
76,10,promDA,79.48
256,10,baseline,61.67
256,10,promDA,74.7
512,10,baseline,49.3
512,10,promDA,69.26
18,50,EDA,66.17
45,50,EDA,77.23
76,50,EDA,78.26
256,50,EDA,75.35
512,50,EDA,72.45
18,10,EDA,56.79
45,10,EDA,61.11
76,10,EDA,63.92
256,10,EDA,62.14
512,10,EDA,48.45
18,50,BackT.,73.48
45,50,BackT.,79.76
76,50,BackT.,76.57
256,50,BackT.,70.57
512,50,BackT.,70.67
18,10,BackT.,56.98
45,10,BackT.,57.73
76,10,BackT.,66.82
256,10,BackT.,70.85
512,10,BackT.,60.64
18,20,BackT.,63.73
45,20,BackT.,63.17
76,20,BackT.,66.17
256,20,BackT.,71.88
512,20,BackT.,64.95
18,100,BackT.,78.35
45,100,BackT.,78.91
76,100,BackT.,81.35
256,100,BackT.,74.98
512,100,BackT.,74.6
18,20,EDA,58.39
45,20,EDA,64.01
76,20,EDA,68.13
256,20,EDA,71.7
512,20,EDA,60.45
18,100,EDA,78.07
45,100,EDA,74.6
76,100,EDA,80.32
256,100,EDA,75.07
512,100,EDA,78.82
18,100,LAMBADA,80.69
45,100,LAMBADA,81.16
76,100,LAMBADA,81.44
256,100,LAMBADA,81.44
512,100,LAMBADA,77.79
18,10,CBERT,51.64
45,10,CBERT,60.64
76,10,CBERT,70.2
256,10,CBERT,62.89
512,10,CBERT,62.14
18,20,CBERT,56.23
45,20,CBERT,66.35
76,20,CBERT,74.98
256,20,CBERT,58.39
512,20,CBERT,64.39
18,100,CBERT,77.41
45,100,CBERT,76.01
76,100,CBERT,79.01
256,100,CBERT,81.26
512,100,CBERT,75.45
18,50,CBERT,77.13
45,50,CBERT,78.26
76,50,CBERT,78.63
256,50,CBERT,74.13
512,50,CBERT,70.1
18,20,LAMBADA,68.49
45,20,LAMBADA,71.79
76,20,LAMBADA,72.91
256,20,LAMBADA,75.26
512,20,LAMBADA,71.04
18,10,LAMBADA,55.3
45,10,LAMBADA,56.7
76,10,LAMBADA,66.64
256,10,LAMBADA,60.92
512,10,LAMBADA,61.86
18,50,LAMBADA,76.76
45,50,LAMBADA,76.29
76,50,LAMBADA,71.42
256,50,LAMBADA,78.73
512,50,LAMBADA,76.38
