"seed","shot","model","performance"
18,10,baseline,62.05
18,10,promDA,75.78
45,10,baseline,67.49
45,10,promDA,83.36
76,10,baseline,74.57
76,10,promDA,80.78
256,10,baseline,67.93
256,10,promDA,82.87
512,10,baseline,58.59
512,10,promDA,84.07
18,50,baseline,80.07
18,50,promDA,86.82
45,50,baseline,82.59
45,50,promDA,86.82
76,50,baseline,80.07
76,50,promDA,83.91
256,50,baseline,82.1
256,50,promDA,86.49
512,50,baseline,82.43
512,50,promDA,87.48
18,100,baseline,85.01
18,100,promDA,88.91
45,100,baseline,84.95
45,100,promDA,87.48
76,100,baseline,84.9
76,100,promDA,87.37
256,100,baseline,85.06
256,100,promDA,86.38
512,100,baseline,81.38
512,100,promDA,86.55
18,20,baseline,75.4
18,20,promDA,84.15
45,20,baseline,79.13
45,20,promDA,84.79
76,20,baseline,71.72
76,20,promDA,83.47
256,20,baseline,65.35
256,20,promDA,81.77
512,20,baseline,66.89
512,20,promDA,81.60
18,50,EDA,79.41
45,50,EDA,81.6
76,50,EDA,80.01
256,50,EDA,80.94
512,50,EDA,80.94
18,10,EDA,64.36
45,10,EDA,71.22
76,10,EDA,70.29
256,10,EDA,66.17
512,10,EDA,61.61
18,10,BackT.,60.74
45,10,BackT.,74.74
76,10,BackT.,75.12
256,10,BackT.,72.32
512,10,BackT.,67.16
18,50,BackT.,81.6
45,50,BackT.,80.23
76,50,BackT.,83.58
256,50,BackT.,78.58
512,50,BackT.,83.14
18,20,BackT.,76
45,20,BackT.,80.4
76,20,BackT.,79.52
256,20,BackT.,71.77
512,20,BackT.,76.33
18,100,BackT.,83.47
45,100,BackT.,82.43
76,100,BackT.,85.61
256,100,BackT.,82.15
512,100,BackT.,84.9
18,20,EDA,70.57
45,20,EDA,84.57
76,20,EDA,75.34
256,20,EDA,67
512,20,EDA,70.35
18,100,EDA,85.23
45,100,EDA,86.49
76,100,EDA,84.4
256,100,EDA,83.25
512,100,EDA,83.69
18,100,LAMBADA,85.23
45,100,LAMBADA,86.16
76,100,LAMBADA,83.69
256,100,LAMBADA,86.78
512,100,LAMBADA,85.28
18,20,CBERT,83.2
45,20,CBERT,81.11
76,20,CBERT,75.67
256,20,CBERT,70.68
512,20,CBERT,73.59
18,100,CBERT,84.79
45,100,CBERT,84.07
76,100,CBERT,84.46
256,100,CBERT,86
512,100,CBERT,87.15
18,50,CBERT,82.65
45,50,CBERT,83.03
76,50,CBERT,81.88
256,50,CBERT,82.48
512,50,CBERT,86.93
18,10,CBERT,62.49
45,10,CBERT,69.91
76,10,CBERT,69.19
256,10,CBERT,73.31
512,10,CBERT,64.14
18,20,LAMBADA,76.66
45,20,LAMBADA,82.43
76,20,LAMBADA,79.68
256,20,LAMBADA,78.47
512,20,LAMBADA,76
18,10,LAMBADA,56.34
45,10,LAMBADA,79.63
76,10,LAMBADA,70.68
256,10,LAMBADA,78.69
512,10,LAMBADA,67.71
18,50,LAMBADA,83.47
45,50,LAMBADA,84.51
76,50,LAMBADA,79.63
256,50,LAMBADA,81.44
512,50,LAMBADA,81.11
